service_order_no,account_number,order_date,site_address,description,erp_status,order_type,parent_service_order_no,nte_amount
211630,ACC-1003,2025-01-01,"8155 Broadway, Madison, WI",ADA operator install - front lobby,completed,initial,,1500
211631,ACC-1006,2025-01-01,"5417 Commerce Dr, Raleigh, NC",ADA operator install - front lobby,completed,initial,,500
211645,ACC-1001,2025-01-01,"2158 Industrial Pkwy, Denver, CO",New tenant lock change,completed,initial,,500
211661,ACC-1005,2025-01-01,"9857 Main St, Memphis, TN",Replace exterior door hardware - main entrance,in_progress,initial,,1000
211673,ACC-1004,2025-01-03,"5461 Broadway, Kansas City, MO",Door closer replacement - multiple units,completed,initial,,1000
211625,ACC-1003,2025-01-04,"8003 Main St, Madison, WI",Emergency service - lock malfunction,completed,initial,,1500
500127,ACC-1006,2025-01-04,"5417 Commerce Dr, Raleigh, NC",ADA operator install - front lobby,completed,return,211631,500
500162,ACC-1004,2025-01-07,"5461 Broadway, Kansas City, MO",Door closer replacement - multiple units,completed,return,211673,1000
211702,ACC-1009,2025-01-07,"6751 Industrial Pkwy, Boise, ID",Rekey building - management request,open,initial,,1000
500139,ACC-1001,2025-01-08,"2158 Industrial Pkwy, Denver, CO",New tenant lock change,completed,return,211645,500
500184,ACC-1009,2025-01-10,"6751 Industrial Pkwy, Boise, ID",Rekey building - management request,completed,return,211702,1000
211682,ACC-1004,2025-01-11,"6649 Airport Rd, Kansas City, MO",Repair panic bar - east stairwell,completed,initial,,2000
500122,ACC-1003,2025-01-13,"8003 Main St, Madison, WI",Emergency service - lock malfunction,completed,return,211625,1500
211633,ACC-1005,2025-01-13,"4697 Main St, Memphis, TN",Replace exterior door hardware - main entrance,in_progress,initial,,
211693,ACC-1009,2025-01-13,"5994 Broadway, Boise, ID",Scheduled hardware maintenance,completed,initial,,2500
211697,ACC-1006,2025-01-13,"2263 Broadway, Raleigh, NC",Rekey building - management request,completed,initial,,2500
211649,ACC-1005,2025-01-15,"456 Industrial Pkwy, Memphis, TN",Emergency service - lock malfunction,completed,initial,,
500126,ACC-1003,2025-01-16,"8155 Broadway, Madison, WI",ADA operator install - front lobby,in_progress,return,211630,1500
500180,ACC-1006,2025-01-16,"2263 Broadway, Raleigh, NC",Rekey building - management request,completed,return,211697,2500
211713,ACC-1001,2025-01-17,"9774 Commerce Dr, Denver, CO",Rekey building - management request,completed,initial,,2500
500152,ACC-1005,2025-01-18,"9857 Main St, Memphis, TN",Replace exterior door hardware - main entrance,completed,return,211661,1000
500170,ACC-1004,2025-01-20,"6649 Airport Rd, Kansas City, MO",Repair panic bar - east stairwell,open,return,211682,2000
211613,ACC-1001,2025-01-22,"6340 Airport Rd, Denver, CO",Install card readers - 3 doors,in_progress,initial,,2500
211681,ACC-1007,2025-01-23,"2725 Industrial Pkwy, New Orleans, LA",New tenant lock change,completed,initial,,2000
211639,ACC-1004,2025-01-24,"2962 Commerce Dr, Kansas City, MO",Scheduled hardware maintenance,completed,initial,,500
500142,ACC-1005,2025-01-25,"456 Industrial Pkwy, Memphis, TN",Emergency service - lock malfunction,completed,return,211649,
211719,ACC-1008,2025-01-25,"8152 Industrial Pkwy, Columbus, OH",Emergency service - lock malfunction,completed,initial,,2500
211715,ACC-1003,2025-01-26,"3458 Commerce Dr, Madison, WI",Door closer replacement - multiple units,completed,initial,,1500
211604,ACC-1004,2025-01-27,"1477 Commerce Dr, Kansas City, MO",Install card readers - 3 doors,completed,initial,,500
